"id_rel";"id_keyphrase";"id_class"
1;332;1
2;1010;1
3;1244;1
4;1685;1
5;1734;1
6;1884;1
7;1885;1
8;2676;1
9;3346;1
10;3588;1
11;3727;1
12;4104;1
13;4143;1
14;4395;1
15;4643;1
16;4689;1
17;4841;1
18;4842;1
19;5085;1
20;5086;1
21;5549;1
22;5550;1
23;5860;1
24;5861;1
25;5949;1
26;6327;1
27;6377;1
28;463;2
29;733;2
30;786;2
31;1349;2
32;1436;2
33;2643;2
34;2644;2
35;3413;2
36;4294;2
37;4824;2
38;5413;2
39;5416;2
40;5555;2
41;5557;2
42;5599;2
43;5771;2
44;6019;2
45;6246;2
46;11;3
47;34;3
48;94;3
49;528;3
50;1689;3
51;2164;3
52;2165;3
53;2330;3
54;3090;3
55;3961;3
56;3986;3
57;4291;3
58;4784;3
59;5584;3
60;5701;3
61;6345;3
62;99;4
63;100;4
64;164;4
65;616;4
66;718;4
67;1426;4
68;1464;4
69;1484;4
70;1633;4
71;1638;4
72;1742;4
73;1796;4
74;2282;4
75;2434;4
76;2472;4
77;2474;4
78;2492;4
79;2494;4
80;2501;4
81;2621;4
82;2789;4
83;2790;4
84;2977;4
85;2982;4
86;2983;4
87;3056;4
88;3417;4
89;3608;4
90;4547;4
91;4548;4
92;5038;4
93;5041;4
94;5108;4
95;5322;4
96;6224;4
97;23;5
98;237;5
99;494;5
100;719;5
101;1683;5
102;1684;5
103;1768;5
104;2333;5
105;2341;5
106;2352;5
107;2678;5
108;3771;5
109;3776;5
110;5588;5
111;6215;5
112;168;6
113;218;6
114;543;6
115;545;6
116;547;6
117;1116;6
118;3639;6
119;6177;6
120;56;7
121;852;7
122;853;7
123;915;7
124;1121;7
125;1124;7
126;1127;7
127;1135;7
128;1140;7
129;1144;7
130;1345;7
131;1679;7
132;1767;7
133;2594;7
134;3432;7
135;4139;7
136;4367;7
137;4371;7
138;5696;7
139;65;8
140;1979;8
141;3214;8
142;3246;8
143;3295;8
144;3342;8
145;3421;8
146;4359;8
147;5154;8
148;5163;8
149;5513;8
150;5515;8
151;5643;8
152;5693;8
153;6132;8
154;6430;8
155;762;9
156;1606;9
157;95;10
158;489;10
159;490;10
160;1791;10
161;1847;10
162;2082;10
163;3111;10
164;3408;10
165;3414;10
166;3584;10
167;3977;10
168;3978;10
169;4132;10
170;4605;10
171;4650;10
172;58;11
173;115;11
174;127;11
175;147;11
176;149;11
177;174;11
178;311;11
179;312;11
180;316;11
181;362;11
182;363;11
183;367;11
184;369;11
185;371;11
186;373;11
187;377;11
188;378;11
189;379;11
190;424;11
191;482;11
192;582;11
193;594;11
194;642;11
195;714;11
196;917;11
197;985;11
198;986;11
199;1039;11
200;1054;11
201;1118;11
202;1130;11
203;1145;11
204;1148;11
205;1151;11
206;1154;11
207;1155;11
208;1174;11
209;1184;11
210;1230;11
211;1276;11
212;1316;11
213;1483;11
214;1509;11
215;1542;11
216;1624;11
217;1724;11
218;1932;11
219;2000;11
220;2006;11
221;2007;11
222;2008;11
223;2066;11
224;2100;11
225;2181;11
226;2215;11
227;2217;11
228;2411;11
229;2455;11
230;2469;11
231;2476;11
232;2477;11
233;2539;11
234;2647;11
235;2670;11
236;2759;11
237;2842;11
238;2944;11
239;3006;11
240;3011;11
241;3069;11
242;3128;11
243;3129;11
244;3132;11
245;3368;11
246;3370;11
247;3426;11
248;3523;11
249;3699;11
250;3794;11
251;4047;11
252;4086;11
253;4158;11
254;4178;11
255;4179;11
256;4195;11
257;4243;11
258;4252;11
259;4323;11
260;4347;11
261;4486;11
262;4489;11
263;4623;11
264;4654;11
265;4655;11
266;5007;11
267;5010;11
268;5022;11
269;5351;11
270;5461;11
271;5490;11
272;5620;11
273;5661;11
274;5725;11
275;5808;11
276;5891;11
277;5938;11
278;6003;11
279;6039;11
280;6050;11
281;6078;11
282;6160;11
283;6453;11
284;6497;11
285;6513;11
286;6517;11
287;6521;11
288;6606;11
289;7081;11
290;7082;11
291;7083;11
292;7084;11
293;7085;11
294;7086;11
295;7087;11
296;7088;11
297;6779;11
298;7089;11
299;7090;11
300;7091;11
301;7092;11
302;1538;11
303;7093;11
304;7094;11
305;7095;11
306;7096;11
307;7097;11
308;7098;11
309;7099;11
310;7100;11
311;7101;11
312;7102;11
313;3074;11
314;3083;11
315;7103;11
316;7104;11
317;7105;11
318;3367;11
319;7106;11
320;7107;11
321;3442;11
322;7108;11
323;7109;11
324;7110;11
325;3739;11
326;7111;11
327;7112;11
328;6928;11
329;7113;11
330;7114;11
331;4437;11
332;4438;11
333;7115;11
334;7116;11
335;7117;11
336;7118;11
337;4446;11
338;4447;11
339;7119;11
340;7120;11
341;7121;11
342;7122;11
343;7123;11
344;7124;11
345;7125;11
346;7126;11
347;7127;11
348;7128;11
349;7129;11
350;7130;11
351;5257;11
352;7131;11
353;5312;11
354;7132;11
355;7133;11
356;7134;11
357;5479;11
358;5480;11
359;7135;11
360;7136;11
361;7137;11
362;7138;11
363;5487;11
364;5496;11
365;7139;11
366;7140;11
367;5494;11
368;7141;11
369;5726;11
370;7035;11
371;7142;11
372;6242;11
373;7326;11
374;7143;11
375;7284;11
376;7288;11
377;1134;11
378;274;12
379;1939;12
380;2405;12
381;2697;13
382;5444;13
383;41;14
384;190;14
385;192;14
386;353;14
387;360;14
388;370;14
389;387;14
390;483;14
391;484;14
392;746;14
393;879;14
394;962;14
395;1113;14
396;1233;14
397;1337;14
398;1599;14
399;1714;14
400;1715;14
401;1717;14
402;1722;14
403;1723;14
404;1808;14
405;2004;14
406;2137;14
407;2305;14
408;2308;14
409;2382;14
410;2549;14
411;2558;14
412;2942;14
413;3029;14
414;3061;14
415;3385;14
416;3454;14
417;3506;14
418;3542;14
419;3781;14
420;4043;14
421;4082;14
422;4232;14
423;4233;14
424;4315;14
425;4641;14
426;4666;14
427;4773;14
428;4775;14
429;4846;14
430;4991;14
431;5063;14
432;5086;14
433;5143;14
434;5166;14
435;5200;14
436;5203;14
437;5284;14
438;5298;14
439;5502;14
440;5533;14
441;5795;14
442;5874;14
443;5877;14
444;5887;14
445;5994;14
446;6066;14
447;6183;14
448;6184;14
449;6283;14
450;6286;14
451;6328;14
452;6335;14
453;6387;14
454;6604;14
455;6719;14
456;363;15
457;366;15
458;755;15
459;1174;15
460;1190;15
461;1467;15
462;1592;15
463;1661;15
464;1891;15
465;2604;15
466;2763;15
467;2862;15
468;3145;15
469;3222;15
470;3878;15
471;3989;15
472;4397;15
473;4906;15
474;4907;15
475;4910;15
476;4924;15
477;5164;15
478;5255;15
479;5293;15
480;5509;15
481;5532;15
482;5995;15
483;6085;15
484;6402;15
485;6422;15
486;843;16
487;1914;16
488;3065;16
489;3444;16
490;3733;16
491;4045;16
492;4701;16
493;6474;16
494;6482;16
495;31;17
496;488;17
497;1126;17
498;1224;17
499;1339;17
500;1890;17
501;2178;17
502;2845;17
503;3220;17
504;3828;17
505;4328;17
506;4564;17
507;4704;17
508;4779;17
509;5162;17
510;5213;17
511;5316;17
512;19;18
513;29;18
514;30;18
515;50;18
516;85;18
517;179;18
518;235;18
519;266;18
520;278;18
521;298;18
522;305;18
523;334;18
524;354;18
525;365;18
526;396;18
527;452;18
528;466;18
529;496;18
530;529;18
531;553;18
532;569;18
533;572;18
534;573;18
535;574;18
536;575;18
537;577;18
538;578;18
539;579;18
540;580;18
541;581;18
542;583;18
543;584;18
544;588;18
545;589;18
546;590;18
547;591;18
548;592;18
549;596;18
550;598;18
551;599;18
552;602;18
553;605;18
554;606;18
555;607;18
556;608;18
557;610;18
558;611;18
559;612;18
560;613;18
561;619;18
562;664;18
563;668;18
564;683;18
565;698;18
566;715;18
567;726;18
568;779;18
569;784;18
570;791;18
571;793;18
572;801;18
573;830;18
574;832;18
575;847;18
576;858;18
577;862;18
578;904;18
579;936;18
580;944;18
581;981;18
582;1087;18
583;1114;18
584;1125;18
585;1128;18
586;1131;18
587;1141;18
588;1220;18
589;1223;18
590;1226;18
591;1243;18
592;1420;18
593;1421;18
594;1493;18
595;1496;18
596;1501;18
597;1511;18
598;1512;18
599;1517;18
600;1518;18
601;1540;18
602;1541;18
603;1552;18
604;1585;18
605;1590;18
606;1602;18
607;1603;18
608;1607;18
609;1671;18
610;1675;18
611;1766;18
612;1811;18
613;1814;18
614;1819;18
615;1824;18
616;1850;18
617;1851;18
618;1852;18
619;1853;18
620;1854;18
621;1855;18
622;1859;18
623;1880;18
624;1897;18
625;1905;18
626;1999;18
627;2010;18
628;2011;18
629;2041;18
630;2042;18
631;2058;18
632;2106;18
633;2121;18
634;2125;18
635;2126;18
636;2128;18
637;2130;18
638;2149;18
639;2176;18
640;2238;18
641;2239;18
642;2240;18
643;2241;18
644;2242;18
645;2243;18
646;2348;18
647;2354;18
648;2366;18
649;2367;18
650;2368;18
651;2396;18
652;2483;18
653;2513;18
654;2520;18
655;2525;18
656;2527;18
657;2528;18
658;2530;18
659;2531;18
660;2532;18
661;2535;18
662;2536;18
663;2569;18
664;2570;18
665;2578;18
666;2579;18
667;2580;18
668;2582;18
669;2583;18
670;2584;18
671;2585;18
672;2588;18
673;2613;18
674;2614;18
675;2620;18
676;2625;18
677;2629;18
678;2650;18
679;2651;18
680;2734;18
681;2797;18
682;2818;18
683;2837;18
684;2885;18
685;2891;18
686;2892;18
687;2899;18
688;2922;18
689;2929;18
690;2962;18
691;3021;18
692;3038;18
693;3067;18
694;3070;18
695;3081;18
696;3117;18
697;3119;18
698;3124;18
699;3130;18
700;3137;18
701;3146;18
702;3147;18
703;3155;18
704;3166;18
705;3171;18
706;3223;18
707;3358;18
708;3373;18
709;3598;18
710;3646;18
711;3657;18
712;3674;18
713;3691;18
714;3693;18
715;3704;18
716;3717;18
717;3719;18
718;3726;18
719;3745;18
720;3753;18
721;3770;18
722;3812;18
723;3813;18
724;3814;18
725;3824;18
726;3855;18
727;3856;18
728;3857;18
729;3861;18
730;3864;18
731;3890;18
732;3902;18
733;3942;18
734;3945;18
735;3955;18
736;3956;18
737;3974;18
738;3979;18
739;3995;18
740;3997;18
741;4018;18
742;4056;18
743;4069;18
744;4117;18
745;4119;18
746;4125;18
747;4141;18
748;4167;18
749;4272;18
750;4281;18
751;4283;18
752;4284;18
753;4288;18
754;4300;18
755;4301;18
756;4353;18
757;4460;18
758;4463;18
759;4478;18
760;4532;18
761;4533;18
762;4561;18
763;4630;18
764;4638;18
765;4652;18
766;4653;18
767;4670;18
768;4681;18
769;4690;18
770;4708;18
771;4749;18
772;4767;18
773;4786;18
774;4798;18
775;4805;18
776;4840;18
777;4856;18
778;4925;18
779;4927;18
780;4932;18
781;4933;18
782;4934;18
783;4935;18
784;4937;18
785;4938;18
786;4939;18
787;4941;18
788;4942;18
789;4943;18
790;4944;18
791;4945;18
792;4952;18
793;4976;18
794;4977;18
795;4999;18
796;5003;18
797;5015;18
798;5018;18
799;5020;18
800;5021;18
801;5204;18
802;5244;18
803;5249;18
804;5403;18
805;5409;18
806;5423;18
807;5433;18
808;5478;18
809;5514;18
810;5518;18
811;5519;18
812;5520;18
813;5521;18
814;5522;18
815;5524;18
816;5525;18
817;5526;18
818;5527;18
819;5528;18
820;5529;18
821;5530;18
822;5535;18
823;5536;18
824;5585;18
825;5591;18
826;5593;18
827;5622;18
828;5623;18
829;5625;18
830;5641;18
831;5649;18
832;5700;18
833;5710;18
834;5716;18
835;5719;18
836;5749;18
837;5750;18
838;5774;18
839;5862;18
840;5892;18
841;5897;18
842;5916;18
843;5919;18
844;5997;18
845;5998;18
846;6015;18
847;6038;18
848;6045;18
849;6049;18
850;6075;18
851;6076;18
852;6092;18
853;6093;18
854;6094;18
855;6096;18
856;6130;18
857;6134;18
858;6141;18
859;6144;18
860;6188;18
861;6205;18
862;6265;18
863;6266;18
864;6288;18
865;6300;18
866;6315;18
867;6376;18
868;6408;18
869;6411;18
870;6415;18
871;6444;18
872;6478;18
873;6492;18
874;6498;18
875;6508;18
876;6512;18
877;6522;18
878;6613;18
879;6647;18
880;6650;18
881;6651;18
882;1729;19
883;2039;19
884;2893;19
885;6216;19
886;78;20
887;111;20
888;239;20
889;315;20
890;320;20
891;380;20
892;382;20
893;468;20
894;475;20
895;486;20
896;601;20
897;603;20
898;604;20
899;609;20
900;948;20
901;991;20
902;1138;20
903;1172;20
904;1558;20
905;1656;20
906;1719;20
907;1752;20
908;1758;20
909;1769;20
910;1782;20
911;1838;20
912;1985;20
913;2153;20
914;2158;20
915;2201;20
916;2270;20
917;2336;20
918;2930;20
919;2934;20
920;3131;20
921;3344;20
922;3394;20
923;3701;20
924;3720;20
925;3903;20
926;4063;20
927;4065;20
928;4184;20
929;4613;20
930;4894;20
931;5134;20
932;5214;20
933;5233;20
934;5303;20
935;5304;20
936;5305;20
937;5306;20
938;5307;20
939;5308;20
940;5309;20
941;5310;20
942;5312;20
943;5516;20
944;5746;20
945;5809;20
946;6031;20
947;6042;20
948;6142;20
949;27;21
950;91;21
951;92;21
952;223;21
953;712;21
954;796;21
955;1048;21
956;1104;21
957;1342;21
958;1442;21
959;1507;21
960;1737;21
961;1743;21
962;1846;21
963;2192;21
964;2197;21
965;2400;21
966;2562;21
967;2877;21
968;3064;21
969;3655;21
970;3757;21
971;3764;21
972;3801;21
973;3887;21
974;4130;21
975;4131;21
976;4187;21
977;4503;21
978;4610;21
979;4639;21
980;4809;21
981;5091;21
982;5271;21
983;5318;21
984;5417;21
985;5556;21
986;5684;21
987;6152;21
988;6218;21
989;73;23
990;184;23
991;189;23
992;216;23
993;320;23
994;394;23
995;689;23
