"id_keyphrase";"keyphrase";"stemmed_keyphrase"
1;"186";"186"
2;"286";"286"
3;"8086";"8086"
4;"(a,b)-tree";"(a,b)-tre"
5;"?-induction";"?-induct"
6;"1/5-rule";"1/5-rule"
7;"2-3 heap";"2-3 heap"
8;"2-3 tree";"2-3 tree"
9;"2-3-4 tree";"2-3-4 tree"
10;"2APL";"2apl"
11;"2-category";"2-categori"
12;"2-plan project management software";"2-plan project management softwar"
13;"2-satisfiability";"2-satisfi"
14;"3APL";"3apl"
15;"3D reconstruction from multiple images";"3d reconstruction from multiple imag"
16;"3D Slicer";"3d slicer"
17;"3D Topicscape";"3d topicscap"
18;"3D volume rendering";"3d volume rend"
19;"3D-Jury";"3d-juri"
20;"3DSlicer";"3dslicer"
21;"3-tier architecture";"3-tier architectur"
22;"A*";"a*"
23;"A* algorithm";"a* algorithm"
24;"AA tree";"aa tre"
25;"AAM";"aam"
26;"Ab initio quantum chemistry methods";"ab initio quantum chemistry method"
27;"Abacus";"abacu"
28;"abc Conjecture";"abc conjectur"
29;"ABCD Schema";"abcd schema"
30;"ABCdb";"abcdb"
31;"Abductive reasoning";"abductive reason"
32;"Abel transform";"abel transform"
33;"Abel–Goncharov interpolation";"abel–goncharov interpol"
34;"Abelian category";"abelian categori"
35;"Aberth method";"aberth method"
36;"Abox";"abox"
37;"Abramowitz and Stegun";"abramowitz and stegun"
38;"ABS methods";"abs method"
39;"Absolute risk reduction";"absolute risk reduct"
40;"Abstract Job Object";"abstract job object"
41;"Abstract machine";"abstract machin"
42;"Abstract state machines";"abstract state machin"
43;"Abstract syntax tree";"abstract syntax tre"
44;"Abstract systems theory";"abstract systems theori"
45;"Abstraction model checking";"abstraction model check"
46;"Abstraction of transport";"abstraction of transport"
47;"Access-eGov";"access-egov"
48;"accessibility";"access"
49;"Accessible surface area";"accessible surface area"
50;"Accession number";"accession numb"
51;"Accidental complexity";"accidental complex"
52;"Accuracy";"accuraci"
53;"Acitve database";"acitve databas"
54;"Ackermann function";"ackermann funct"
55;"ACL2 theorem prover";"acl2 theorem prov"
56;"Acoustic analogy";"acoustic analog"
57;"Acoustical engineering";"acoustical engin"
58;"Action selection";"action select"
59;"ActionShot";"actionshot"
60;"Activation function";"activation funct"
61;"Active appearance model";"active appearance model"
62;"Active contour";"active contour"
63;"Active set";"active set"
64;"ActiveX control";"activex control"
65;"Activity recognition";"activity recognit"
66;"Actuator – motor";"actuator – motor"
67;"Acutance";"acut"
68;"Acyclic coloring";"acyclic color"
69;"AD plus";"ad plu"
70;"Ada";"ada"
71;"Ada compilers";"ada compil"
72;"AdaBoos";"adaboo"
73;"AdaBoost";"adaboost"
74;"ADALINE";"adalin"
75;"Adaptation";"adapt"
76;"adaptive autonomy";"adaptive autonomi"
77;"Adaptive Binary Optimization";"adaptive binary optim"
78;"Adaptive control";"adaptive control"
79;"Adaptive filtering";"adaptive filt"
80;"Adaptive histogram equalization";"adaptive histogram equ"
81;"Adaptive k-d tree";"adaptive k-d tre"
82;"Adaptive neuro fuzzy inference system";"adaptive neuro fuzzy inference system"
83;"Adaptive quadrature";"adaptive quadratur"
84;"Adaptive resonance theory";"adaptive resonance theori"
85;"Adaptive sampling";"adaptive sampl"
86;"Adaptive Simpson`s method";"adaptive simpson`s method"
87;"Adaptive simulated annealing";"adaptive simulated ann"
88;"Adaptive stepsize";"adaptive steps"
89;"Adaptive systems theory";"adaptive systems theori"
90;"Adders";"adder"
91;"Adding machine";"adding machin"
92;"Addition chain";"addition chain"
93;"Addition-chain exponentiation";"addition-chain exponenti"
94;"Additive category";"additive categori"
