"id_rel";"id_keyphrase1";"id_keyphrase2";"id_relationship"
1;7;2813;5
2;11;34;5
3;13;5384;5
4;6723;5256;4
5;23;5589;5
6;25;61;1
7;27;796;5
8;35;2540;5
9;38;6055;5
10;43;6328;5
11;6729;1360;4
12;54;1107;5
13;56;1127;5
14;57;2060;5
15;61;25;1
16;6732;6986;1
17;65;3074;5
18;69;1712;5
19;86;5640;5
20;87;5641;5
21;91;796;5
22;93;2191;5
23;7352;372;1
24;7353;1539;1
25;108;114;1
26;114;108;1
27;118;6001;5
28;119;105;5
29;7081;7111;5
30;7081;379;4
31;7081;7111;4
32;127;3128;5
33;127;7082;4
34;127;7108;4
35;127;4086;4
36;127;5726;4
37;127;7081;4
38;127;3128;4
39;7082;7108;1
40;7082;4086;4
41;7082;5726;4
42;7082;3128;4
43;7082;7081;4
44;139;504;5
45;145;6335;5
46;150;5539;5
47;156;815;5
48;157;156;5
49;158;156;5
50;159;4174;5
51;163;3217;5
52;168;1107;5
53;168;4894;5
54;7244;168;5
55;7244;7245;4
56;172;4647;5
57;174;4647;5
58;185;5844;5
59;188;6235;5
60;191;6235;5
61;193;5552;5
62;194;292;1
63;196;126;5
64;6737;6812;4
65;6737;6863;1
66;6737;4481;4
67;6737;6945;4
68;6737;6946;4
69;6737;6952;4
70;6737;6953;4
71;6737;6997;4
72;6737;7028;4
73;6737;7051;4
74;6737;7058;4
75;6737;7059;4
76;6737;7061;4
77;6737;7062;4
78;6737;7065;4
79;210;326;1
80;216;3100;5
81;6739;1545;4
82;6739;6799;4
83;222;1696;5
84;223;796;5
85;224;1696;5
86;238;6042;5
87;246;6478;5
88;258;1568;4
89;6741;6812;4
90;6741;2905;1
91;6741;6945;4
92;6741;6997;4
93;6741;7015;4
94;6741;7051;4
95;6741;7058;4
96;263;43;5
97;263;189;5
98;263;1625;5
99;263;2179;5
100;263;2196;5
101;263;2310;5
102;263;3941;5
103;263;4591;5
104;263;6075;5
105;7246;168;5
106;276;2339;5
107;6742;1950;4
108;6742;7229;1
109;292;194;1
110;293;1995;5
111;7344;6495;1
112;308;691;1
113;311;992;5
114;314;582;5
115;315;1170;5
116;315;1170;4
117;7083;7081;4
118;7083;3128;4
119;7084;6671;4
120;326;210;1
121;333;4483;5
122;349;2293;4
123;352;2533;5
124;367;3011;5
125;369;4486;5
126;372;7352;1
127;376;2060;5
128;377;315;4
129;377;7089;4
130;384;7354;1
131;7354;384;1
132;390;261;5
133;391;4600;5
134;395;5457;5
135;398;399;5
136;400;399;5
137;401;1712;5
138;402;1712;5
139;403;406;5
140;405;5552;5
141;412;6328;5
142;418;2512;5
143;421;320;5
144;423;3538;5
145;425;3557;5
146;427;1923;5
147;428;6335;5
148;433;2540;5
149;438;5793;5
150;445;2491;5
151;446;4154;5
152;448;171;5
153;453;5289;5
154;458;550;5
155;458;7358;5
156;459;550;5
157;461;1740;5
158;7086;7085;4
159;7086;7241;4
160;7086;468;4
161;467;469;5
162;7355;749;1
163;482;6004;5
164;489;4605;5
165;492;1923;5
166;493;4971;5
167;494;5589;5
168;495;1634;5
169;498;2622;5
170;499;2245;4
171;499;2692;4
172;499;6843;4
173;499;7296;4
174;499;4568;4
175;499;4571;4
176;504;5289;5
177;505;270;5
178;505;1741;5
179;506;270;5
180;507;270;5
181;508;3248;5
182;509;4823;5
183;512;4483;5
184;514;2826;5
185;515;517;5
186;515;815;5
187;516;4578;5
188;518;2548;5
189;519;2548;5
190;520;516;5
191;523;5078;5
192;524;2510;5
193;528;34;5
194;7356;532;1
195;7357;533;1
196;532;3240;5
197;532;7356;1
198;533;532;5
199;533;7357;1
200;534;2209;5
201;535;5793;5
202;538;4522;5
203;542;5635;5
204;549;2209;5
205;550;5041;5
206;554;1231;5
207;558;2813;5
208;564;568;5
209;565;568;5
210;566;6018;5
211;568;6328;5
212;570;2813;5
213;597;586;5
214;616;164;5
215;620;2540;5
216;6748;624;4
217;6748;6789;1
218;6748;3688;4
219;6748;6891;4
220;637;2235;5
221;647;5635;5
222;660;4768;5
223;665;2235;5
224;6749;2657;4
225;6749;4874;4
226;673;261;5
227;679;160;5
228;685;5384;5
229;686;2372;5
230;689;2045;5
231;690;2045;5
232;691;308;1
233;692;1696;5
234;694;3949;5
235;6750;7081;4
236;6750;1168;4
237;706;2370;5
238;7358;458;1
239;6752;6751;4
240;6752;3168;4
241;6752;4240;4
242;6752;6963;4
243;6752;6964;4
244;712;3757;5
245;717;270;5
246;718;2472;5
247;719;4483;5
248;725;2540;5
249;7346;568;4
250;7346;1564;4
251;7346;7021;4
252;7346;2839;4
253;7346;7349;4
254;7346;6334;4
255;731;5078;5
256;732;2622;5
257;733;6247;5
258;736;2235;5
259;739;514;5
260;740;6328;5
261;740;568;4
262;740;2839;4
263;740;1564;6
264;749;7355;1
265;769;2235;5
266;772;6747;4
267;781;1628;5
268;783;872;1
269;797;3405;5
270;6758;6805;4
271;806;177;5
272;6760;6819;4
273;6762;6919;4
274;6762;6923;4
275;6762;6924;4
276;6762;6984;4
277;814;815;5
278;817;2279;5
279;822;1067;1
280;842;5098;5
281;852;1140;5
282;853;1121;5
283;865;1360;1
284;872;783;1
285;7359;1127;1
286;7360;1234;1
287;7347;1477;6
288;1483;4195;5
289;1486;3240;5
290;1489;4971;5
291;1490;2499;5
292;1495;2060;5
293;1506;4297;5
294;1507;796;5
295;1514;658;5
296;1525;3405;5
297;886;4768;5
298;6767;7195;4
299;901;7365;1
300;908;4736;5
301;915;1140;5
302;917;1624;5
303;6770;930;4
304;6770;1360;4
305;6770;6830;4
306;6770;3105;1
307;6771;6830;4
308;6771;6903;1
309;941;2692;4
310;941;2855;4
311;941;4240;4
312;941;4632;1
313;941;5540;4
314;941;7062;4
315;941;7207;4
316;7087;948;5
317;7361;1350;1
318;7362;1135;1
319;954;4051;5
320;957;6642;5
321;7363;1381;1
322;967;326;4
323;967;3696;1
324;985;5312;5
325;986;127;5
326;1006;105;5
327;1013;6055;5
328;6776;6960;4
329;1030;1018;5
330;1030;1022;5
331;1030;1023;5
332;1030;1024;5
333;1030;1026;5
334;1030;1028;5
335;1030;2932;5
336;1030;6536;5
337;1035;1038;5
338;1037;105;5
339;1038;1107;5
340;6777;6770;4
341;6777;1360;4
342;6777;3320;1
343;6777;5107;4
344;1048;5685;5
345;7088;7121;4
346;1061;105;5
347;1067;822;1
348;7163;7202;4
349;1080;615;5
350;1084;6273;5
351;1091;5992;5
352;1092;1091;5
353;1104;796;5
354;1106;1107;5
355;1110;4647;5
356;1111;1107;5
357;1117;5992;5
358;1118;1132;5
359;1124;1140;5
360;1127;1140;5
361;1127;7359;1
362;1134;6932;4
363;1134;315;4
364;1134;1170;5
365;1135;1140;5
366;1135;7362;1
367;1145;5011;5
368;1151;6514;5
369;1154;2476;5
370;1155;6514;5
371;6779;5496;4
372;6779;7166;1
373;6779;1170;4
374;6779;7166;4
375;6779;5496;1
376;6779;5500;4
377;1170;315;4
378;1170;6815;4
379;1170;6867;4
380;1170;4882;1
381;1170;5747;4
382;6780;4481;4
383;6780;7229;4
384;6782;6778;4
385;6782;6826;4
386;1181;3368;5
387;1182;2533;5
388;1204;7364;5
389;1299;4007;5
390;1300;1995;5
391;1215;3240;5
392;1216;3240;5
393;1225;6273;5
394;1230;3697;5
395;1234;2671;5
396;1234;7360;1
397;1237;3666;5
398;1240;2671;5
399;1240;3762;5
400;7091;3859;4
401;1250;4992;5
402;1252;1515;5
403;1253;1515;5
404;1264;6574;5
405;1270;5970;5
406;1272;2060;5
407;1280;6478;5
408;1290;4768;5
409;1295;4969;5
410;1296;856;5
411;1302;1091;5
412;1303;2235;5
413;1305;4154;5
414;1308;1688;5
415;1309;177;5
416;1310;1848;5
417;1314;2236;5
418;1316;4178;5
419;1321;2742;5
420;1332;4741;5
421;1342;796;5
422;1345;1121;5
423;1346;1680;4
424;1346;4240;4
425;1346;7229;1
426;1347;3734;5
427;1350;7361;1
428;1353;6328;5
429;1360;865;1
430;1364;4823;5
431;7364;1204;1
432;1369;5635;5
433;1371;5288;5
434;1375;873;1
435;1379;261;5
436;1381;7363;1
437;1384;6350;5
438;7365;901;1
439;1422;825;1
440;1423;6642;5
441;1426;164;5
442;1442;796;5
443;1447;4007;5
444;1455;1170;5
445;1464;164;5
446;7092;1545;4
447;7092;3739;4
448;7092;5496;4
449;7092;1538;1
450;1537;1634;5
451;1538;1545;4
452;1538;5496;4
453;1538;3739;4
454;1538;7092;1
455;1539;7353;1
456;1546;1545;4
457;7271;1545;4
458;1550;4647;5
459;6788;1545;4
460;6788;6900;4
461;6788;4862;4
462;7348;4862;6
463;1557;4862;4
464;1558;7144;6
465;1558;7192;5
466;1558;315;4
467;1558;7192;4
468;1558;7144;4
469;1560;217;4
470;1560;6387;4
471;1564;302;4
472;1564;4894;5
473;1564;1545;5
474;6789;3688;4
475;6789;6891;4
476;1566;7192;5
477;1566;7192;4
478;1568;7145;4
479;1568;7192;5
480;1568;1170;4
481;1568;1545;4
482;1568;1550;1
483;1568;1579;4
484;1568;7192;4
485;1568;7229;4
486;1579;1593;1
487;1579;1593;4
488;1579;7192;4
489;1579;1579;4
490;7145;4894;6
491;7145;4894;4
492;7337;4894;5
493;7337;168;1
494;1593;1579;1
495;7366;1653;1
496;6790;1545;4
497;6790;1568;4
498;6790;1827;4
499;6790;1829;4
500;1598;739;5
501;1600;5288;5
502;1601;517;5
503;1601;4736;5
504;6791;747;4
505;6791;4882;4
506;6791;7043;4
507;1624;2181;5
508;1624;7083;2
509;1624;1568;4
510;1625;6328;5
511;1630;2022;4
512;1635;3766;5
513;6792;1346;4
514;6792;4240;4
515;6792;7021;1
516;6793;4240;4
517;6793;5540;1
518;1650;4647;5
519;1653;2671;5
520;1653;7366;1
521;1658;6347;5
522;1662;176;5
523;1672;6480;5
524;6794;6798;4
525;6794;6919;4
526;6794;6924;4
527;1679;1121;5
528;6795;2995;4
529;1683;4483;5
530;1687;1215;5
531;1688;2533;5
532;1689;34;5
533;1690;105;5
534;1691;1182;5
535;1694;2302;5
536;1714;2303;5
537;6797;7021;4
538;6797;7021;1
539;1716;6235;5
540;1719;5312;5
541;1728;4768;5
542;6798;6819;4
543;1737;796;5
544;1743;796;5
545;1744;2150;5
546;1749;5071;5
547;6799;747;4
548;6799;1545;4
549;1767;1121;5
550;1768;5589;5
551;1768;5590;5
552;6802;6798;4
553;1781;1849;1
554;1785;3762;5
555;1786;6480;5
556;1802;270;5
557;1805;4831;5
558;7273;168;5
559;7273;7337;4
560;1817;615;5
561;1827;1170;4
562;1829;1568;4
563;1829;4240;4
564;1845;4278;5
565;1849;1781;1
566;6803;6919;4
567;6803;4571;1
568;7093;3370;5
569;7094;3083;2
570;7094;7095;5
571;7094;7147;6
572;7094;3083;6
573;7095;7094;6
574;7095;3083;2
575;1869;5712;1
576;1877;5098;5
577;6804;6960;4
578;1903;1906;5
